
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=2 --sandbox=conjure-exercise --cards


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: conjure-exercise (2 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      grave-larva               greedy       policy-pick           100%  60/0/0/0       2.1       35%     53%    42%  100% 0.97   34%
  early      grave-larva               blind        policy-pick           100%  60/0/0/0       2.1       35%     53%    41%  100% 0.97   33%
  early      grave-larva               dot-weaver   policy-pick           100%  60/0/0/0       1.8       43%     53%    43%  100% 0.97   34%
  early      grave-larva               control-lock policy-pick           100%  56/4/0/0       3.0       33%     53%    44%  100% 0.97   44%
  early      grave-larva               aggro-brute  policy-pick           100%  60/0/0/0       2.4       30%     56%    40%  100% 0.97   37%
  early      grave-larva               turtle       policy-pick            33%  20/0/40/0      6.5        2%     67%    33%  100% 0.92   77%
  early      grave-larva               chaos        policy-pick           100%  60/0/0/0       2.7       27%     58%    38%  100% 0.97   35%
  early      grave-larva               mercy-seeker policy-pick            65%  39/0/21/0      5.8        4%     64%    36%  100% 0.92   62%
  early      foot-stealer              greedy       policy-pick           100%  60/0/0/0       2.5       35%     55%    41%  100% 0.97   34%
  early      foot-stealer              blind        policy-pick           100%  60/0/0/0       2.6       36%     55%    40%  100% 0.97   34%
  early      foot-stealer              dot-weaver   policy-pick           100%  60/0/0/0       2.1       42%     54%    43%  100% 0.97   35%
  early      foot-stealer              control-lock policy-pick           100%  58/2/0/0       3.5       32%     54%    45%  100% 0.98   53%
