
Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: bridge-rewards (6 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      grave-larva               greedy       policy-pick           100%  38/22/0/0      2.6       28%     61%    39%  100% 1.00   37%
  early      grave-larva               blind        policy-pick           100%  40/20/0/0      2.6       29%     61%    39%  100% 1.00   36%
  early      grave-larva               dot-weaver   policy-pick           100%  57/3/0/0       1.8       41%     55%    44%  100% 0.99   39%
  early      grave-larva               control-lock policy-pick           100%  29/31/0/0      3.7       24%     67%    26%  100% 0.97   52%
  early      grave-larva               aggro-brute  policy-pick           100%  51/9/0/0       2.9       23%     63%    37%  100% 1.00   38%
  early      grave-larva               turtle       policy-pick            92%  48/7/5/0       4.1       10%     73%    27%  100% 1.00   35%
  early      grave-larva               chaos        policy-pick           100%  42/18/0/0      3.4       14%     60%    40%  100% 1.00   27%
  early      grave-larva               mercy-seeker policy-pick           100%  48/12/0/0      4.3       20%     73%    27%  100% 1.00   28%
  early      foot-stealer              greedy       policy-pick           100%  46/14/0/0      3.1       28%     61%    39%  100% 1.00   36%
  early      foot-stealer              blind        policy-pick           100%  48/12/0/0      3.1       28%     61%    39%  100% 1.00   35%
  early      foot-stealer              dot-weaver   policy-pick           100%  59/1/0/0       2.2       43%     57%    41%  100% 0.99   37%
  early      foot-stealer              control-lock policy-pick            88%  28/25/7/0      4.3       25%     66%    27%  100% 0.97   61%
  early      foot-stealer              aggro-brute  policy-pick            98%  55/4/1/0       3.4       23%     63%    37%  100% 1.00   40%
  early      foot-stealer              turtle       policy-pick            85%  45/6/9/0       4.5       10%     68%    32%  100% 1.00   33%
