
Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=3
Sandbox set applied: doom-species (1 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      foot-stealer              chaos        policy-pick           100%  54/6/0/0       3.5       21%     60%    40%  100% 0.97   41%
  early      foot-stealer              mercy-seeker policy-pick            78%  47/0/13/0     22.4        7%     73%    27%  100% 0.97   92%
  early      little-belle              greedy       policy-pick           100%  60/0/0/0       2.8       32%     65%    35%  100% 0.97   33%
  early      little-belle              blind        policy-pick           100%  59/1/0/0       2.9       31%     66%    34%  100% 0.97   33%
  early      little-belle              dot-weaver   policy-pick           100%  60/0/0/0       2.2       43%     54%    42%  100% 0.97   20%
  early      little-belle              control-lock policy-pick            88%  24/29/7/0      8.6       23%     60%    26%  100% 0.97  100%
  early      little-belle              aggro-brute  policy-pick           100%  59/1/0/0       3.1       30%     72%    28%  100% 0.97   35%
  early      little-belle              turtle       policy-pick             0%  0/0/60/0       7.0        0%     80%    20%  100% 0.96  100%
  early      little-belle              chaos        policy-pick            98%  54/5/1/0       3.4       20%     61%    39%  100% 0.97   43%
  early      little-belle              mercy-seeker policy-pick            88%  52/1/7/0      20.8        7%     71%    29%  100% 0.97   90%
  early      water-holger              greedy       policy-pick           100%  60/0/0/0       2.9       33%     64%    36%  100% 0.97   33%
  early      water-holger              blind        policy-pick           100%  58/2/0/0       2.9       32%     65%    35%  100% 0.97   33%
  early      water-holger              dot-weaver   policy-pick           100%  60/0/0/0       2.2       45%     54%    42%  100% 0.97   20%
  early      water-holger              control-lock policy-pick            82%  23/26/11/0     8.3       23%     61%    25%  100% 0.97  100%
  early      water-holger              aggro-brute  policy-pick           100%  58/2/0/0       3.2       30%     71%    29%  100% 0.97   34%
  early      water-holger              turtle       policy-pick             0%  0/0/60/0       6.4        0%    100%     0%  100% 0.96  100%
  early      water-holger              chaos        policy-pick            98%  55/4/1/0       3.6       19%     61%    39%  100% 0.97   46%
  early      water-holger              mercy-seeker policy-pick            77%  43/3/14/0     20.8        7%     67%    33%  100% 0.97   93%
  early      the-butcher               greedy       policy-pick            80%  43/5/12/0      3.8       33%     64%    36%  100% 0.97   31%
  early      the-butcher               blind        policy-pick            80%  43/5/12/0      3.8       34%     64%    36%  100% 0.97   31%
  early      the-butcher               dot-weaver   policy-pick            98%  59/0/1/0       2.7       44%     54%    44%  100% 0.97   20%
  early      the-butcher               control-lock policy-pick            15%  8/1/51/0       5.9       24%     61%    31%  100% 0.97  100%
  early      the-butcher               aggro-brute  policy-pick            67%  38/2/20/0      3.8       33%     65%    35%  100% 0.97   32%
  early      the-butcher               turtle       policy-pick             0%  0/0/60/0       4.3        0%      0%     0%  100% 0.96    0%
  early      the-butcher               chaos        policy-pick            63%  34/4/22/0      3.9       22%     60%    40%  100% 0.97   45%
  early      the-butcher               mercy-seeker policy-pick             0%  0/0/60/0       7.9        7%     73%    28%  100% 0.97   80%
  early      king-of-revenge           greedy       policy-pick            13%  8/0/52/0       3.0       32%     58%    42%  100% 0.97   35%
  early      king-of-revenge           blind        policy-pick            13%  8/0/52/0       3.0       33%     58%    42%  100% 0.97   36%
  early      king-of-revenge           dot-weaver   policy-pick            57%  34/0/26/0      3.0       43%     54%    43%  100% 0.97   23%
  early      king-of-revenge           control-lock policy-pick             0%  0/0/60/0       4.2       23%     56%    28%  100% 0.97  100%
  early      king-of-revenge           aggro-brute  policy-pick            10%  6/0/54/0       3.0       31%     60%    40%  100% 0.96   41%
  early      king-of-revenge           turtle       policy-pick             0%  0/0/60/0       3.3        0%      0%     0%  100% 0.96    0%
  early      king-of-revenge           chaos        policy-pick            15%  9/0/51/0       3.1       20%     57%    43%  100% 0.97   49%
  early      king-of-revenge           mercy-seeker policy-pick             0%  0/0/60/0       5.4        7%     67%    33%  100% 0.97   89%
  mid        tri-eyes                  greedy       policy-pick            40%  5/19/36/0      5.0       21%     54%    46%  100% 0.98   44%
  mid        tri-eyes                  blind        policy-pick            40%  5/19/36/0      5.0       22%     54%    46%  100% 0.98   45%
  mid        tri-eyes                  dot-weaver   policy-pick            88%  53/0/7/0       4.5       40%     55%    45%  100% 0.98   39%
  mid        tri-eyes                  control-lock policy-pick             0%  0/0/60/0       5.0        9%     57%    43%  100% 0.98   87%
  mid        tri-eyes                  aggro-brute  policy-pick            52%  28/3/29/0      5.0       23%     54%    46%  100% 0.99   39%
  mid        tri-eyes                  turtle       policy-pick             0%  0/0/60/0       5.2        4%     39%    42%  100% 1.00   73%
  mid        tri-eyes                  chaos        policy-pick            12%  1/6/53/0       5.2       12%     54%    46%  100% 0.98   52%
  mid        tri-eyes                  mercy-seeker policy-pick             3%  2/0/58/0       7.0       10%     38%    47%  100% 1.00   41%
  mid        mirac                     greedy       policy-pick             2%  0/1/59/0       3.0       19%     54%    46%  100% 0.99   48%
  mid        mirac                     blind        policy-pick             2%  0/1/59/0       3.0       19%     54%    46%  100% 0.99   48%
  mid        mirac                     dot-weaver   policy-pick             2%  1/0/59/0       3.0       36%     53%    46%  100% 0.98   39%
  mid        mirac                     control-lock policy-pick             0%  0/0/60/0       3.0        9%     59%    41%  100% 0.98   86%
  mid        mirac                     aggro-brute  policy-pick             0%  0/0/60/0       3.0       19%     54%    46%  100% 1.00   40%
  mid        mirac                     turtle       policy-pick             0%  0/0/60/0       3.7        3%     31%    41%  100% 1.00   75%
  mid        mirac                     chaos        policy-pick             0%  0/0/60/0       3.3       10%     55%    45%  100% 1.00   47%
  mid        mirac                     mercy-seeker policy-pick             5%  2/1/57/0       8.0       10%     41%    49%  100% 1.00   40%
  mid        hasshaku-sama             greedy       policy-pick             0%  0/0/60/0       4.0       20%     54%    46%  100% 0.99   46%
  mid        hasshaku-sama             blind        policy-pick             0%  0/0/60/0       4.0       20%     54%    46%  100% 0.99   47%
  mid        hasshaku-sama             dot-weaver   policy-pick            58%  35/0/25/0      3.9       37%     54%    45%  100% 0.98   48%
  mid        hasshaku-sama             control-lock policy-pick             0%  0/0/60/0       4.0        9%     58%    42%  100% 0.98   89%
  mid        hasshaku-sama             aggro-brute  policy-pick             2%  1/0/59/0       4.0       22%     53%    47%  100% 1.00   43%
  mid        hasshaku-sama             turtle       policy-pick             0%  0/0/60/0       4.1        3%     38%    43%  100% 1.00   75%
  mid        hasshaku-sama             chaos        policy-pick             2%  0/1/59/0       4.2       11%     55%    45%  100% 0.99   48%
  mid        hasshaku-sama             mercy-seeker policy-pick             0%  0/0/60/0       6.0       10%     39%    47%  100% 1.00   38%
  mid        jeweled-tree              greedy       policy-pick             0%  0/0/60/0       4.0       20%     54%    46%  100% 0.99   50%
