
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=2 --cards --sandbox=sequencing-microset


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: sequencing-microset (6 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      foot-stealer              aggro-brute  policy-pick           100%  60/0/0/0       2.2       26%     58%    42%  100% 0.97   41%
  early      foot-stealer              turtle       policy-pick            28%  17/0/43/0      5.9        4%     58%    42%  100% 0.97   43%
  early      foot-stealer              chaos        policy-pick           100%  60/0/0/0       2.3       33%     56%    44%  100% 0.97   43%
  early      foot-stealer              mercy-seeker policy-pick            65%  39/0/21/0      5.9       10%     57%    43%  100% 0.97   32%
  early      little-belle              greedy       policy-pick           100%  60/0/0/0       1.9       40%     57%    43%  100% 0.97   48%
  early      little-belle              blind        policy-pick           100%  60/0/0/0       2.0       38%     58%    42%  100% 0.97   45%
  early      little-belle              dot-weaver   policy-pick           100%  60/0/0/0       2.5       37%     66%    34%  100% 0.98   38%
  early      little-belle              control-lock policy-pick            47%  28/0/32/0      6.3       17%     61%    32%  100% 0.98   77%
  early      little-belle              aggro-brute  policy-pick           100%  60/0/0/0       2.0       28%     57%    43%  100% 0.97   40%
  early      little-belle              turtle       policy-pick            35%  21/0/39/0      6.5        4%     57%    43%  100% 0.97   41%
  early      little-belle              chaos        policy-pick           100%  60/0/0/0       2.1       32%     55%    45%  100% 0.97   48%
  early      little-belle              mercy-seeker policy-pick            83%  50/0/10/0      6.5       10%     54%    46%  100% 0.97   28%
  early      water-holger              greedy       policy-pick           100%  60/0/0/0       1.9       39%     57%    43%  100% 0.97   48%
  early      water-holger              blind        policy-pick           100%  60/0/0/0       2.0       36%     58%    42%  100% 0.97   44%
  early      water-holger              dot-weaver   policy-pick           100%  59/1/0/0       2.5       38%     65%    35%  100% 0.97   36%
  early      water-holger              control-lock policy-pick            45%  27/0/33/0      6.0       17%     63%    30%  100% 0.97   76%
  early      water-holger              aggro-brute  policy-pick           100%  60/0/0/0       2.0       28%     57%    43%  100% 0.97   40%
  early      water-holger              turtle       policy-pick            37%  22/0/38/0      5.9        4%     56%    44%  100% 0.97   41%
  early      water-holger              chaos        policy-pick           100%  60/0/0/0       2.1       33%     55%    45%  100% 0.97   48%
  early      water-holger              mercy-seeker policy-pick            67%  40/0/20/0      6.2       10%     53%    47%  100% 0.97   28%
  early      the-butcher               greedy       policy-pick            98%  59/0/1/0       2.6       43%     58%    42%  100% 0.97   36%
  early      the-butcher               blind        policy-pick            98%  59/0/1/0       2.6       43%     58%    42%  100% 0.97   38%
  early      the-butcher               dot-weaver   policy-pick            93%  55/1/4/0       3.2       37%     62%    38%  100% 0.97   44%
  early      the-butcher               control-lock policy-pick            20%  12/0/48/0      4.6       18%     63%    36%  100% 0.98   75%
  early      the-butcher               aggro-brute  policy-pick            98%  59/0/1/0       2.8       30%     57%    43%  100% 0.97   37%
  early      the-butcher               turtle       policy-pick             3%  2/0/58/0       4.1        4%     59%    41%  100% 0.97   55%
  early      the-butcher               chaos        policy-pick            98%  59/0/1/0       2.7       35%     55%    45%  100% 0.97   43%
  early      the-butcher               mercy-seeker policy-pick            20%  12/0/48/0      4.5       10%     56%    44%  100% 0.97   48%
  early      king-of-revenge           greedy       policy-pick            83%  50/0/10/0      2.9       43%     57%    43%  100% 0.97   40%
  early      king-of-revenge           blind        policy-pick            83%  50/0/10/0      2.9       44%     57%    43%  100% 0.97   42%
  early      king-of-revenge           dot-weaver   policy-pick            38%  23/0/37/0      3.0       36%     59%    41%  100% 0.98   43%
  early      king-of-revenge           control-lock policy-pick             2%  1/0/59/0       3.5       18%     58%    41%  100% 0.98   73%
  early      king-of-revenge           aggro-brute  policy-pick            68%  41/0/19/0      2.9       31%     57%    43%  100% 0.97   32%
  early      king-of-revenge           turtle       policy-pick             0%  0/0/60/0       3.3        3%     57%    43%  100% 0.97   52%
  early      king-of-revenge           chaos        policy-pick            72%  43/0/17/0      2.9       34%     56%    44%  100% 0.97   49%
  early      king-of-revenge           mercy-seeker policy-pick             0%  0/0/60/0       3.5        9%     51%    49%  100% 0.97   51%
  mid        tri-eyes                  greedy       policy-pick            10%  6/0/54/0       5.2       15%     54%    46%  100% 0.99   59%
  mid        tri-eyes                  blind        policy-pick            10%  6/0/54/0       5.1       15%     54%    46%  100% 0.99   59%
  mid        tri-eyes                  dot-weaver   policy-pick            92%  55/0/5/0       4.4       32%     54%    46%  100% 0.97   32%
  mid        tri-eyes                  control-lock policy-pick            38%  12/11/37/0     5.9       30%     42%    31%  100% 1.00   40%
  mid        tri-eyes                  aggro-brute  policy-pick             0%  0/0/60/0       5.0       13%     33%    24%  100% 1.00   44%
  mid        tri-eyes                  turtle       policy-pick             0%  0/0/60/0       5.1        2%     47%    52%  100% 1.00   45%
  mid        tri-eyes                  chaos        policy-pick             0%  0/0/60/0       5.2        6%     54%    46%  100% 1.00   73%
  mid        tri-eyes                  mercy-seeker policy-pick            13%  8/0/52/0       6.5        4%     40%    59%  100% 1.00   56%
  mid        mirac                     greedy       policy-pick             0%  0/0/60/0       3.6       13%     53%    47%  100% 1.00   61%
  mid        mirac                     blind        policy-pick             0%  0/0/60/0       3.6       13%     53%    47%  100% 1.00   62%
  mid        mirac                     dot-weaver   policy-pick             0%  0/0/60/0       3.0       29%     53%    47%  100% 0.98   33%
  mid        mirac                     control-lock policy-pick             0%  0/0/60/0       3.9       27%     35%    27%  100% 1.00   53%
  mid        mirac                     aggro-brute  policy-pick             0%  0/0/60/0       3.1       11%     32%    23%  100% 1.00   46%
  mid        mirac                     turtle       policy-pick             2%  1/0/59/0       3.8        2%     38%    62%  100% 1.00   39%
  mid        mirac                     chaos        policy-pick             0%  0/0/60/0       3.4        5%     53%    47%  100% 1.00   78%
  mid        mirac                     mercy-seeker policy-pick             2%  1/0/59/0       4.5        3%     42%    58%  100% 1.00   54%
  mid        hasshaku-sama             greedy       policy-pick             0%  0/0/60/0       4.1       14%     54%    46%  100% 1.00   67%
  mid        hasshaku-sama             blind        policy-pick             0%  0/0/60/0       4.2       14%     54%    46%  100% 1.00   67%
  mid        hasshaku-sama             dot-weaver   policy-pick            45%  27/0/33/0      4.0       31%     53%    47%  100% 0.97   38%
  mid        hasshaku-sama             control-lock policy-pick             7%  4/0/56/0       5.0       28%     42%    31%  100% 1.00   49%
  mid        hasshaku-sama             aggro-brute  policy-pick             0%  0/0/60/0       4.0       12%     41%    30%  100% 1.00   42%
  mid        hasshaku-sama             turtle       policy-pick             0%  0/0/60/0       4.0        2%     44%    56%  100% 1.00   35%
  mid        hasshaku-sama             chaos        policy-pick             0%  0/0/60/0       4.0        6%     54%    46%  100% 1.00   77%
  mid        hasshaku-sama             mercy-seeker policy-pick             5%  3/0/57/0       5.3        4%     42%    58%  100% 1.00   58%
  mid        jeweled-tree              greedy       policy-pick             0%  0/0/60/0       4.3       14%     54%    46%  100% 1.00   66%
  mid        jeweled-tree              blind        policy-pick             0%  0/0/60/0       4.3       14%     54%    46%  100% 1.00   66%
  mid        jeweled-tree              dot-weaver   policy-pick            40%  24/0/36/0      4.0       30%     54%    46%  100% 0.97   37%
  mid        jeweled-tree              control-lock policy-pick             8%  4/1/55/0       5.1       28%     42%    31%  100% 1.00   46%
  mid        jeweled-tree              aggro-brute  policy-pick             0%  0/0/60/0       4.0       13%     39%    28%  100% 1.00   39%
  mid        jeweled-tree              turtle       policy-pick             0%  0/0/60/0       4.0        2%     43%    56%  100% 1.00   35%
  mid        jeweled-tree              chaos        policy-pick             0%  0/0/60/0       4.0        6%     54%    46%  100% 1.00   76%
  mid        jeweled-tree              mercy-seeker policy-pick             3%  2/0/58/0       5.5        4%     43%    57%  100% 1.00   58%
  mid        rawhead-rex               greedy       policy-pick             0%  0/0/60/0       3.0       13%     53%    47%  100% 1.00   67%
  mid        rawhead-rex               blind        policy-pick             0%  0/0/60/0       3.0       13%     53%    47%  100% 1.00   67%
  mid        rawhead-rex               dot-weaver   policy-pick             0%  0/0/60/0       3.0       29%     53%    47%  100% 0.98   33%
  mid        rawhead-rex               control-lock policy-pick             0%  0/0/60/0       3.3       27%     35%    27%  100% 1.00   49%
  mid        rawhead-rex               aggro-brute  policy-pick             0%  0/0/60/0       3.0       11%     34%    23%  100% 1.00   38%
  mid        rawhead-rex               turtle       policy-pick             0%  0/0/60/0       3.0        2%     47%    53%  100% 1.00   58%
  mid        rawhead-rex               chaos        policy-pick             0%  0/0/60/0       3.0        5%     54%    46%  100% 1.00   68%
  mid        rawhead-rex               mercy-seeker policy-pick             0%  0/0/60/0       3.6        3%     45%    55%  100% 1.00   61%
