
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  mid        tri-eyes                  aggro-brute  policy-pick            18%  11/0/49/0      5.0       15%     22%    56%  100% 0.99   31%
  mid        tri-eyes                  turtle       policy-pick             7%  4/0/56/0       5.0        5%     50%    50%  100% 1.00   80%
  mid        tri-eyes                  chaos        policy-pick             2%  1/0/59/0       5.4       12%     55%    45%  100% 0.99   54%
  mid        tri-eyes                  mercy-seeker policy-pick            37%  22/0/38/0      5.8        6%     51%    49%  100% 1.00   74%
  mid        mirac                     greedy       policy-pick             2%  1/0/59/0       3.9       20%     54%    46%  100% 0.99   50%
  mid        mirac                     blind        policy-pick             0%  0/0/60/0       3.9       20%     54%    46%  100% 0.99   50%
  mid        mirac                     dot-weaver   policy-pick             0%  0/0/60/0       3.1       24%     53%    46%  100% 1.00   36%
  mid        mirac                     control-lock policy-pick            38%  23/0/37/0      4.5       38%     49%    43%  100% 1.00   38%
  mid        mirac                     aggro-brute  policy-pick             2%  1/0/59/0       3.2       13%     25%    55%  100% 1.00   30%
  mid        mirac                     turtle       policy-pick             0%  0/0/60/0       3.7        4%     50%    50%  100% 1.00   69%
  mid        mirac                     chaos        policy-pick             2%  1/0/59/0       3.6        9%     55%    45%  100% 1.00   55%
  mid        mirac                     mercy-seeker policy-pick             2%  1/0/59/0       4.4        5%     49%    51%  100% 1.00   58%
  mid        hasshaku-sama             greedy       policy-pick             0%  0/0/60/0       4.2       20%     55%    45%  100% 0.99   52%
  mid        hasshaku-sama             blind        policy-pick             0%  0/0/60/0       4.2       20%     55%    45%  100% 0.99   50%
  mid        hasshaku-sama             dot-weaver   policy-pick             0%  0/0/60/0       4.0       25%     53%    46%  100% 1.00   35%
  mid        hasshaku-sama             control-lock policy-pick            45%  27/0/33/0      5.4       37%     48%    42%  100% 1.00   38%
  mid        hasshaku-sama             aggro-brute  policy-pick             3%  2/0/58/0       4.0       14%     28%    63%  100% 1.00   37%
  mid        hasshaku-sama             turtle       policy-pick             0%  0/0/60/0       4.0        3%     46%    54%  100% 1.00   64%
