
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --sandbox=conjure-exercise --cards


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: conjure-exercise (2 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  mid        tri-eyes                  control-lock policy-pick            55%  25/8/27/0      5.9       31%     29%    67%  100% 0.99   34%
  mid        tri-eyes                  aggro-brute  policy-pick             0%  0/0/60/0       5.0       14%     37%    31%  100% 0.99   36%
  mid        tri-eyes                  turtle       policy-pick             2%  1/0/59/0       5.3        4%     37%    52%  100% 0.99   73%
  mid        tri-eyes                  chaos        policy-pick             0%  0/0/60/0       5.3        4%     53%    47%  100% 0.99   41%
  mid        tri-eyes                  mercy-seeker policy-pick            15%  9/0/51/0       6.9       11%     41%    48%  100% 0.98   67%
  mid        mirac                     greedy       policy-pick             0%  0/0/60/0       3.6       12%     55%    45%  100% 1.00   56%
  mid        mirac                     blind        policy-pick             0%  0/0/60/0       3.6       12%     56%    44%  100% 1.00   58%
  mid        mirac                     dot-weaver   policy-pick             0%  0/0/60/0       3.0       24%     53%    47%  100% 1.00   34%
  mid        mirac                     control-lock policy-pick            10%  4/2/54/0       4.2       28%     34%    62%  100% 1.00   33%
  mid        mirac                     aggro-brute  policy-pick             0%  0/0/60/0       3.0       13%     42%    35%  100% 1.00   49%
  mid        mirac                     turtle       policy-pick             0%  0/0/60/0       3.4        4%     30%    46%  100% 0.99   70%
  mid        mirac                     chaos        policy-pick             0%  0/0/60/0       3.7        4%     55%    45%  100% 1.00   47%
  mid        mirac                     mercy-seeker policy-pick             0%  0/0/60/0       4.3       10%     36%    46%  100% 0.98   63%
  mid        hasshaku-sama             greedy       policy-pick             0%  0/0/60/0       4.0       13%     55%    45%  100% 0.99   57%
  mid        hasshaku-sama             blind        policy-pick             0%  0/0/60/0       4.0       13%     55%    44%  100% 1.00   59%
  mid        hasshaku-sama             dot-weaver   policy-pick             0%  0/0/60/0       4.0       24%     53%    47%  100% 1.00   31%
  mid        hasshaku-sama             control-lock policy-pick            17%  6/4/50/0       5.1       28%     31%    63%  100% 0.99   33%
  mid        hasshaku-sama             aggro-brute  policy-pick             0%  0/0/60/0       4.0       13%     44%    36%  100% 1.00   53%
  mid        hasshaku-sama             turtle       policy-pick             0%  0/0/60/0       4.2        4%     36%    46%  100% 0.99   74%
  mid        hasshaku-sama             chaos        policy-pick             0%  0/0/60/0       4.2        4%     53%    47%  100% 0.99   51%
  mid        hasshaku-sama             mercy-seeker policy-pick             2%  1/0/59/0       5.7       11%     41%    42%  100% 0.98   73%
  mid        jeweled-tree              greedy       policy-pick             0%  0/0/60/0       4.0       13%     55%    45%  100% 1.00   58%
  mid        jeweled-tree              blind        policy-pick             0%  0/0/60/0       4.0       13%     55%    45%  100% 1.00   59%
  mid        jeweled-tree              dot-weaver   policy-pick             0%  0/0/60/0       4.0       24%     53%    47%  100% 1.00   30%
  mid        jeweled-tree              control-lock policy-pick            37%  18/4/38/0      5.9       29%     31%    63%  100% 0.99   33%
  mid        jeweled-tree              aggro-brute  policy-pick             0%  0/0/60/0       4.0       13%     42%    35%  100% 1.00   52%
  mid        jeweled-tree              turtle       policy-pick             0%  0/0/60/0       4.2        4%     36%    46%  100% 0.99   74%
  mid        jeweled-tree              chaos        policy-pick             0%  0/0/60/0       4.2        5%     53%    47%  100% 1.00   44%
  mid        jeweled-tree              mercy-seeker policy-pick             3%  2/0/58/0       6.4       10%     42%    43%  100% 0.98   72%
  mid        rawhead-rex               greedy       policy-pick             0%  0/0/60/0       3.0       11%     58%    42%  100% 1.00   66%
  mid        rawhead-rex               blind        policy-pick             0%  0/0/60/0       3.0       11%     58%    42%  100% 1.00   66%
  mid        rawhead-rex               dot-weaver   policy-pick             0%  0/0/60/0       3.0       23%     53%    47%  100% 1.00   35%
  mid        rawhead-rex               control-lock policy-pick             3%  2/0/58/0       3.5       26%     32%    64%  100% 1.00   35%
  mid        rawhead-rex               aggro-brute  policy-pick             0%  0/0/60/0       3.0       13%     44%    37%  100% 1.00   56%
  mid        rawhead-rex               turtle       policy-pick             0%  0/0/60/0       3.1        4%     31%    43%  100% 0.99   74%
  mid        rawhead-rex               chaos        policy-pick             0%  0/0/60/0       3.0        4%     53%    47%  100% 1.00   54%
  mid        rawhead-rex               mercy-seeker policy-pick             0%  0/0/60/0       3.7       10%     34%    39%  100% 0.98   72%
  late       fire-giant                greedy       policy-pick             0%  0/0/60/0       4.5       17%     52%    48%  100% 0.99   63%
  late       fire-giant                blind        policy-pick             0%  0/0/60/0       4.5       17%     52%    47%  100% 0.99   62%
  late       fire-giant                dot-weaver   policy-pick             0%  0/0/60/0       4.0       24%     56%    44%  100% 1.00   44%
  late       fire-giant                control-lock policy-pick             7%  3/1/56/0       5.9       27%     45%    37%  100% 1.00   49%
  late       fire-giant                aggro-brute  policy-pick             0%  0/0/60/0       4.1       16%     20%    17%  100% 1.00   34%
  late       fire-giant                turtle       policy-pick             0%  0/0/60/0       4.0        2%     53%    41%  100% 0.98   86%
  late       fire-giant                chaos        policy-pick             0%  0/0/60/0       4.3        8%     51%    49%  100% 1.00   51%
  late       fire-giant                mercy-seeker policy-pick             0%  0/0/60/0       4.7        8%     45%    35%  100% 0.97   54%
  late       rangda                    greedy       policy-pick             0%  0/0/60/0       3.5       16%     51%    49%  100% 1.00   62%
