
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=2 --cards --sandbox=chooseX-vein


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: chooseX-vein (1 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      foot-stealer              aggro-brute  policy-pick            98%  59/0/1/0       3.1       30%     63%    37%  100% 0.98   51%
  early      foot-stealer              turtle       policy-pick             7%  4/0/56/0       6.0        1%     59%    39%  100% 0.97   77%
  early      foot-stealer              chaos        policy-pick            97%  58/0/2/0       3.3       25%     58%    42%  100% 0.98   36%
  early      foot-stealer              mercy-seeker policy-pick            27%  16/0/44/0      7.5        2%     66%    34%  100% 0.97   56%
  early      little-belle              greedy       policy-pick           100%  60/0/0/0       2.7       34%     61%    39%  100% 0.98   35%
  early      little-belle              blind        policy-pick           100%  60/0/0/0       2.7       33%     61%    39%  100% 0.98   36%
  early      little-belle              dot-weaver   policy-pick           100%  60/0/0/0       2.0       46%     55%    44%  100% 0.98   28%
  early      little-belle              control-lock policy-pick           100%  57/3/0/0       3.8       33%     55%    41%  100% 0.97   66%
  early      little-belle              aggro-brute  policy-pick           100%  60/0/0/0       2.8       32%     65%    35%  100% 0.98   37%
  early      little-belle              turtle       policy-pick            10%  6/0/54/0       6.7        1%     64%    34%  100% 0.97   90%
  early      little-belle              chaos        policy-pick           100%  60/0/0/0       3.0       24%     58%    42%  100% 0.98   40%
  early      little-belle              mercy-seeker policy-pick            32%  19/0/41/0      8.4        1%     65%    35%  100% 0.97   56%
  early      water-holger              greedy       policy-pick           100%  60/0/0/0       2.7       35%     61%    39%  100% 0.98   34%
  early      water-holger              blind        policy-pick           100%  60/0/0/0       2.7       33%     60%    40%  100% 0.98   35%
  early      water-holger              dot-weaver   policy-pick           100%  60/0/0/0       2.0       47%     55%    44%  100% 0.98   25%
  early      water-holger              control-lock policy-pick           100%  54/6/0/0       3.8       33%     55%    41%  100% 0.98   65%
  early      water-holger              aggro-brute  policy-pick           100%  60/0/0/0       2.9       33%     64%    36%  100% 0.98   37%
  early      water-holger              turtle       policy-pick            12%  7/0/53/0       6.0        1%     61%    37%  100% 0.97   90%
  early      water-holger              chaos        policy-pick           100%  60/0/0/0       3.1       24%     58%    42%  100% 0.98   40%
  early      water-holger              mercy-seeker policy-pick            27%  16/0/44/0      7.6        1%     64%    36%  100% 0.97   60%
  early      the-butcher               greedy       policy-pick            90%  54/0/6/0       3.6       36%     60%    40%  100% 0.98   47%
  early      the-butcher               blind        policy-pick            92%  55/0/5/0       3.6       36%     61%    39%  100% 0.98   46%
  early      the-butcher               dot-weaver   policy-pick            98%  59/0/1/0       2.6       44%     55%    44%  100% 0.98   37%
  early      the-butcher               control-lock policy-pick            83%  49/1/10/0      4.9       33%     54%    42%  100% 0.97   74%
  early      the-butcher               aggro-brute  policy-pick            80%  48/0/12/0      3.7       33%     61%    39%  100% 0.98   52%
  early      the-butcher               turtle       policy-pick             2%  1/0/59/0       4.1        1%     58%    40%  100% 0.97   79%
  early      the-butcher               chaos        policy-pick            70%  42/0/18/0      3.7       27%     58%    42%  100% 0.98   38%
  early      the-butcher               mercy-seeker policy-pick             3%  2/0/58/0       4.7        1%     63%    37%  100% 0.97   66%
