
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards --sandbox=roles-forge


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: roles-forge (2 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  mid        tri-eyes                  control-lock policy-pick            82%  40/9/11/0      5.5       39%     50%    42%  100% 1.00   32%
  mid        tri-eyes                  aggro-brute  policy-pick             3%  2/0/58/0       5.0       14%     43%    36%  100% 1.00   44%
  mid        tri-eyes                  turtle       policy-pick             0%  0/0/60/0       5.0        2%     39%    46%  100% 1.00   51%
  mid        tri-eyes                  chaos        policy-pick            18%  11/0/49/0      5.0       15%     53%    47%  100% 0.99   53%
  mid        tri-eyes                  mercy-seeker policy-pick             0%  0/0/60/0       6.2        2%     31%    56%  100% 1.00   40%
  mid        mirac                     greedy       policy-pick             0%  0/0/60/0       3.0       24%     53%    47%  100% 1.00   56%
  mid        mirac                     blind        policy-pick             0%  0/0/60/0       3.0       24%     53%    47%  100% 1.00   56%
  mid        mirac                     dot-weaver   policy-pick             0%  0/0/60/0       3.1       22%     53%    47%  100% 1.00   37%
  mid        mirac                     control-lock policy-pick            18%  11/0/49/0      4.3       38%     51%    43%  100% 1.00   37%
  mid        mirac                     aggro-brute  policy-pick             0%  0/0/60/0       3.0       13%     40%    34%  100% 1.00   55%
  mid        mirac                     turtle       policy-pick             0%  0/0/60/0       3.4        1%     41%    47%  100% 1.00   61%
  mid        mirac                     chaos        policy-pick             0%  0/0/60/0       3.0       12%     53%    47%  100% 1.00   54%
  mid        mirac                     mercy-seeker policy-pick             0%  0/0/60/0       4.4        2%     33%    56%  100% 1.00   32%
  mid        hasshaku-sama             greedy       policy-pick             5%  3/0/57/0       4.0       27%     54%    46%  100% 1.00   56%
  mid        hasshaku-sama             blind        policy-pick             5%  3/0/57/0       4.0       27%     54%    46%  100% 1.00   56%
  mid        hasshaku-sama             dot-weaver   policy-pick             0%  0/0/60/0       4.0       23%     53%    47%  100% 1.00   37%
  mid        hasshaku-sama             control-lock policy-pick            47%  24/4/32/0      5.3       39%     51%    43%  100% 0.99   36%
  mid        hasshaku-sama             aggro-brute  policy-pick             0%  0/0/60/0       4.0       14%     44%    37%  100% 1.00   56%
