
Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: bridge-rewards (6 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  mid        tri-eyes                  turtle       policy-pick             0%  0/0/60/0       5.0        1%     27%    72%  100% 1.00   51%
  mid        tri-eyes                  chaos        policy-pick             0%  0/0/60/0       5.3        2%     54%    46%  100% 1.00   75%
  mid        tri-eyes                  mercy-seeker policy-pick             7%  4/0/56/0       7.2       10%     24%    60%  100% 1.00   45%
  mid        mirac                     greedy       policy-pick             0%  0/0/60/0       3.8        6%     54%    46%  100% 1.00   88%
  mid        mirac                     blind        policy-pick             0%  0/0/60/0       3.8        6%     54%    46%  100% 1.00   90%
  mid        mirac                     dot-weaver   policy-pick             3%  2/0/58/0       3.4       42%     53%    44%  100% 0.98   24%
  mid        mirac                     control-lock policy-pick             0%  0/0/60/0       3.6       30%     52%    46%  100% 1.00   57%
  mid        mirac                     aggro-brute  policy-pick             0%  0/0/60/0       3.0       13%     35%    25%  100% 1.00   49%
  mid        mirac                     turtle       policy-pick             0%  0/0/60/0       3.1        1%     29%    70%  100% 1.00   52%
  mid        mirac                     chaos        policy-pick             0%  0/0/60/0       3.6        1%     54%    46%  100% 1.00   84%
  mid        mirac                     mercy-seeker policy-pick             0%  0/0/60/0       4.5        9%     22%    64%  100% 1.00   46%
  mid        hasshaku-sama             greedy       policy-pick             0%  0/0/60/0       4.3        6%     54%    46%  100% 0.99   92%
  mid        hasshaku-sama             blind        policy-pick             0%  0/0/60/0       4.4        7%     54%    46%  100% 0.99   91%
  mid        hasshaku-sama             dot-weaver   policy-pick            37%  22/0/38/0      4.3       44%     54%    44%  100% 0.98   24%
  mid        hasshaku-sama             control-lock policy-pick             0%  0/0/60/0       4.1       29%     53%    45%  100% 1.00   54%
  mid        hasshaku-sama             aggro-brute  policy-pick             0%  0/0/60/0       4.0       15%     45%    33%  100% 1.00   38%
  mid        hasshaku-sama             turtle       policy-pick             0%  0/0/60/0       4.0        1%     25%    75%  100% 1.00   58%
  mid        hasshaku-sama             chaos        policy-pick             0%  0/0/60/0       4.1        1%     54%    46%  100% 1.00   74%
  mid        hasshaku-sama             mercy-seeker policy-pick             0%  0/0/60/0       5.8        9%     21%    53%  100% 1.00   44%
  mid        jeweled-tree              greedy       policy-pick             0%  0/0/60/0       4.4        6%     54%    46%  100% 0.99   91%
  mid        jeweled-tree              blind        policy-pick             0%  0/0/60/0       4.4        7%     54%    46%  100% 0.99   90%
  mid        jeweled-tree              dot-weaver   policy-pick            38%  23/0/37/0      4.3       44%     54%    44%  100% 0.98   25%
  mid        jeweled-tree              control-lock policy-pick             0%  0/0/60/0       4.2       29%     53%    45%  100% 1.00   55%
  mid        jeweled-tree              aggro-brute  policy-pick             0%  0/0/60/0       4.0       15%     43%    31%  100% 1.00   39%
  mid        jeweled-tree              turtle       policy-pick             0%  0/0/60/0       4.0        1%     24%    76%  100% 1.00   59%
  mid        jeweled-tree              chaos        policy-pick             0%  0/0/60/0       4.1        1%     54%    46%  100% 1.00   84%
  mid        jeweled-tree              mercy-seeker policy-pick             0%  0/0/60/0       6.6        9%     21%    54%  100% 1.00   46%
  mid        rawhead-rex               greedy       policy-pick             0%  0/0/60/0       3.0        5%     53%    47%  100% 1.00   93%
  mid        rawhead-rex               blind        policy-pick             0%  0/0/60/0       3.0        5%     53%    47%  100% 1.00   93%
  mid        rawhead-rex               dot-weaver   policy-pick             0%  0/0/60/0       3.2       41%     52%    44%  100% 0.98   27%
