
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards --sandbox=sequencing-microset


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: sequencing-microset (6 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      grave-larva               greedy       policy-pick           100%  52/8/0/0       2.1       39%     58%    40%  100% 1.00   25%
  early      grave-larva               blind        policy-pick           100%  50/10/0/0      2.0       41%     57%    41%  100% 0.99   24%
  early      grave-larva               dot-weaver   policy-pick           100%  55/5/0/0       1.9       46%     58%    42%  100% 0.99   24%
  early      grave-larva               control-lock policy-pick           100%  41/19/0/0      3.5       24%     57%    40%  100% 0.98   30%
  early      grave-larva               aggro-brute  policy-pick           100%  57/3/0/0       2.3       34%     60%    38%  100% 1.00   27%
  early      grave-larva               turtle       policy-pick           100%  60/0/0/0       3.9       13%     57%    43%  100% 1.00   55%
  early      grave-larva               chaos        policy-pick           100%  57/3/0/0       2.5       28%     58%    40%  100% 1.00   25%
  early      grave-larva               mercy-seeker policy-pick           100%  60/0/0/0       3.3       20%     58%    42%  100% 1.00   51%
  early      foot-stealer              greedy       policy-pick           100%  51/9/0/0       2.4       40%     57%    42%  100% 1.00   24%
  early      foot-stealer              blind        policy-pick           100%  53/7/0/0       2.4       41%     57%    42%  100% 1.00   22%
  early      foot-stealer              dot-weaver   policy-pick           100%  60/0/0/0       2.4       45%     60%    40%  100% 1.00   20%
  early      foot-stealer              control-lock policy-pick           100%  41/19/0/0      4.2       25%     58%    40%  100% 0.98   31%
