
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards --sandbox=free-line-conversions


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: free-line-conversions (0 cards, 8 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  mid        tri-eyes                  control-lock policy-pick            73%  43/1/16/0      5.6       38%     48%    42%  100% 1.00   33%
  mid        tri-eyes                  aggro-brute  policy-pick            10%  6/0/54/0       5.0       16%     26%    56%  100% 0.99   32%
  mid        tri-eyes                  turtle       policy-pick             7%  4/0/56/0       5.0        4%     49%    51%  100% 1.00   70%
  mid        tri-eyes                  chaos        policy-pick             8%  3/2/55/0       5.7       12%     56%    44%  100% 0.99   49%
  mid        tri-eyes                  mercy-seeker policy-pick            23%  14/0/46/0      5.8        6%     50%    50%  100% 1.00   61%
  mid        mirac                     greedy       policy-pick             0%  0/0/60/0       4.0       21%     55%    45%  100% 0.99   52%
  mid        mirac                     blind        policy-pick             0%  0/0/60/0       4.0       21%     55%    45%  100% 0.99   53%
  mid        mirac                     dot-weaver   policy-pick             0%  0/0/60/0       3.1       24%     54%    46%  100% 1.00   34%
  mid        mirac                     control-lock policy-pick            33%  19/1/40/0      4.4       36%     50%    42%  100% 1.00   39%
  mid        mirac                     aggro-brute  policy-pick             2%  1/0/59/0       3.2       14%     27%    55%  100% 1.00   31%
  mid        mirac                     turtle       policy-pick             0%  0/0/60/0       3.5        4%     50%    50%  100% 1.00   72%
  mid        mirac                     chaos        policy-pick             2%  0/1/59/0       4.2       10%     56%    44%  100% 0.98   56%
  mid        mirac                     mercy-seeker policy-pick             2%  1/0/59/0       4.3        5%     49%    51%  100% 1.00   63%
  mid        hasshaku-sama             greedy       policy-pick             0%  0/0/60/0       4.3       22%     56%    44%  100% 0.99   50%
  mid        hasshaku-sama             blind        policy-pick             0%  0/0/60/0       4.3       22%     56%    44%  100% 0.99   50%
  mid        hasshaku-sama             dot-weaver   policy-pick             0%  0/0/60/0       4.1       26%     53%    46%  100% 1.00   35%
  mid        hasshaku-sama             control-lock policy-pick            42%  25/0/35/0      5.4       35%     49%    42%  100% 1.00   38%
  mid        hasshaku-sama             aggro-brute  policy-pick             3%  2/0/58/0       4.0       14%     28%    60%  100% 1.00   36%
  mid        hasshaku-sama             turtle       policy-pick             0%  0/0/60/0       4.0        4%     49%    51%  100% 1.00   71%
  mid        hasshaku-sama             chaos        policy-pick             0%  0/0/60/0       4.3       11%     56%    44%  100% 0.99   56%
  mid        hasshaku-sama             mercy-seeker policy-pick             2%  1/0/59/0       4.7        5%     49%    51%  100% 1.00   65%
  mid        jeweled-tree              greedy       policy-pick            15%  5/4/51/0       5.0       23%     56%    44%  100% 0.99   49%
  mid        jeweled-tree              blind        policy-pick            17%  6/4/50/0       5.1       23%     56%    44%  100% 0.99   49%
  mid        jeweled-tree              dot-weaver   policy-pick             0%  0/0/60/0       4.1       26%     53%    46%  100% 1.00   35%
  mid        jeweled-tree              control-lock policy-pick            58%  35/0/25/0      5.6       36%     49%    41%  100% 1.00   38%
  mid        jeweled-tree              aggro-brute  policy-pick             3%  2/0/58/0       4.0       15%     27%    58%  100% 0.99   35%
  mid        jeweled-tree              turtle       policy-pick             0%  0/0/60/0       4.0        4%     49%    51%  100% 1.00   70%
  mid        jeweled-tree              chaos        policy-pick             8%  3/2/55/0       4.9       11%     56%    44%  100% 0.98   61%
  mid        jeweled-tree              mercy-seeker policy-pick             2%  1/0/59/0       5.0        5%     50%    50%  100% 1.00   69%
  mid        rawhead-rex               greedy       policy-pick             0%  0/0/60/0       3.2       19%     57%    43%  100% 1.00   53%
  mid        rawhead-rex               blind        policy-pick             0%  0/0/60/0       3.1       19%     57%    43%  100% 1.00   53%
  mid        rawhead-rex               dot-weaver   policy-pick             0%  0/0/60/0       3.0       24%     54%    46%  100% 1.00   36%
  mid        rawhead-rex               control-lock policy-pick             8%  5/0/55/0       4.1       34%     49%    42%  100% 1.00   40%
  mid        rawhead-rex               aggro-brute  policy-pick             0%  0/0/60/0       3.0       13%     29%    51%  100% 1.00   37%
  mid        rawhead-rex               turtle       policy-pick             0%  0/0/60/0       3.0        3%     52%    48%  100% 1.00   75%
  mid        rawhead-rex               chaos        policy-pick             0%  0/0/60/0       3.2        9%     62%    38%  100% 1.00   58%
  mid        rawhead-rex               mercy-seeker policy-pick             0%  0/0/60/0       3.5        5%     52%    48%  100% 1.00   71%
  late       fire-giant                greedy       policy-pick             0%  0/0/60/0       4.0       14%     55%    45%  100% 0.99   39%
  late       fire-giant                blind        policy-pick             0%  0/0/60/0       4.0       14%     55%    45%  100% 0.99   38%
