
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=2 --cards --sandbox=free-line-conversions


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: free-line-conversions (0 cards, 8 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      grave-larva               greedy       policy-pick           100%  60/0/0/0       2.5       38%     66%    34%  100% 0.98   49%
  early      grave-larva               blind        policy-pick           100%  60/0/0/0       2.5       38%     66%    34%  100% 0.98   49%
  early      grave-larva               dot-weaver   policy-pick           100%  60/0/0/0       1.8       45%     56%    43%  100% 0.98   38%
  early      grave-larva               control-lock policy-pick           100%  41/19/0/0      3.5       33%     55%    41%  100% 0.98   68%
  early      grave-larva               aggro-brute  policy-pick           100%  60/0/0/0       2.6       36%     68%    32%  100% 0.98   49%
  early      grave-larva               turtle       policy-pick            13%  8/0/52/0       7.1        1%     58%    39%  100% 0.97   80%
  early      grave-larva               chaos        policy-pick           100%  60/0/0/0       2.7       31%     61%    39%  100% 0.98   34%
  early      grave-larva               mercy-seeker policy-pick            30%  18/0/42/0      7.8        2%     63%    37%  100% 0.97   52%
  early      foot-stealer              greedy       policy-pick           100%  60/0/0/0       2.9       39%     66%    34%  100% 0.98   52%
  early      foot-stealer              blind        policy-pick           100%  60/0/0/0       2.9       39%     66%    34%  100% 0.98   53%
  early      foot-stealer              dot-weaver   policy-pick           100%  60/0/0/0       2.0       46%     54%    44%  100% 0.98   38%
  early      foot-stealer              control-lock policy-pick           100%  44/16/0/0      4.0       33%     55%    41%  100% 0.97   69%
